Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
34,10/07/21,20:25:08,9.1,23.4,7.7,823,15,0
35,10/07/21,20:26:08,9.1,23.3,7.7,823,15,0
36,10/07/21,20:27:08,9.1,23.1,7.7,823,15,0
37,10/07/21,20:28:08,9.1,23,7.7,822,15,0
38,10/07/21,20:29:08,9.1,23,7.7,821,14,0
39,10/07/21,20:30:08,9.1,23.2,7.67,822,15,0
40,10/07/21,20:31:08,9.1,23.3,7.67,823,15,0
41,10/07/21,20:32:09,9.1,23.3,7.67,823,15,0
42,10/07/21,20:33:08,9.1,23.3,7.67,823,14,0
43,10/07/21,20:34:08,9.2,23.4,7.67,824,15,0
44,10/07/21,20:35:08,9.1,23.4,7.67,823,15,0
45,10/07/21,20:36:09,9.1,23.4,7.67,823,15,0
46,10/07/21,20:37:08,9.1,23.4,7.67,823,15,0
47,10/07/21,20:38:08,9.1,23.4,7.67,823,15,0
48,10/07/21,20:39:08,9.2,23.4,7.67,823,15,0
49,10/07/21,20:40:09,9.1,23.2,7.7,823,15,0
50,10/07/21,20:41:08,9.1,23.1,7.7,822,15,0
51,10/07/21,20:42:08,9.1,23,7.7,822,15,0
52,10/07/21,20:43:09,9.1,23.1,7.67,822,15,0
53,10/07/21,20:44:09,9.1,23.2,7.67,823,15,0
54,10/07/21,20:45:08,9.1,23.3,7.67,823,15,0
55,10/07/21,20:46:08,9.1,23.3,7.67,823,15,0
56,10/07/21,20:47:09,9.1,23.4,7.67,822,15,0
57,10/07/21,20:48:09,9.1,23.4,7.67,823,15,0
58,10/07/21,20:49:08,9.1,23.4,7.67,823,15,0
59,10/07/21,20:50:09,9.1,23.4,7.67,823,15,0
60,10/07/21,20:51:09,9.2,23.4,7.67,824,15,0
61,10/07/21,20:52:09,9.1,23.4,7.67,823,15,0
62,10/07/21,20:53:08,9.1,23.3,7.7,823,15,0
63,10/07/21,20:54:09,9.2,23.1,7.7,823,15,0
64,10/07/21,20:55:09,9.1,23,7.7,822,15,0
65,10/07/21,20:56:09,9.1,23,7.7,822,15,0
66,10/07/21,20:57:09,9.1,23.2,7.67,822,15,0
67,10/07/21,20:58:09,9.1,23.3,7.67,823,15,0
68,10/07/21,20:59:09,9,23.3,7.67,823,15,0
69,10/07/21,21:00:09,8.9,23.4,7.65,824,15,0
70,10/07/21,21:01:09,8.9,23.4,7.67,824,15,0
71,10/07/21,21:02:09,8.9,23.4,7.67,823,15,0
72,10/07/21,21:03:09,8.9,23.4,7.67,823,15,0
73,10/07/21,21:04:09,8.9,23.4,7.67,823,15,0
74,10/07/21,21:05:09,8.9,23.5,7.67,823,15,0
75,10/07/21,21:06:09,8.9,23.3,7.67,824,15,0
76,10/07/21,21:07:09,9,23.2,7.7,822,15,0
77,10/07/21,21:08:09,9,23,7.7,821,15,0
78,10/07/21,21:09:09,9,23,7.7,821,15,0
79,10/07/21,21:10:09,9,23.2,7.67,820,15,0
80,10/07/21,21:11:09,9,23.3,7.67,820,15,0
81,10/07/21,21:12:09,9,23.3,7.67,821,15,0
82,10/07/21,21:13:09,9.1,23.4,7.67,822,15,0
83,10/07/21,21:14:09,9.1,23.4,7.67,822,15,0
84,10/07/21,21:15:09,9,23.4,7.67,822,15,0
85,10/07/21,21:16:09,9.1,23.4,7.67,822,15,0
86,10/07/21,21:17:09,9.1,23.4,7.67,823,15,0
87,10/07/21,21:18:09,9.1,23.4,7.67,821,15,0
88,10/07/21,21:19:09,9.1,23.4,7.7,822,15,0
89,10/07/21,21:20:09,9.1,23.2,7.7,822,15,0
90,10/07/21,21:21:09,9.1,23,7.7,822,15,0
91,10/07/21,21:22:09,9.1,23,7.7,821,15,0
92,10/07/21,21:23:09,9.1,23.1,7.67,820,15,0
93,10/07/21,21:24:09,9.1,23.2,7.67,820,15,0
94,10/07/21,21:25:09,9.1,23.3,7.67,820,15,0
95,10/07/21,21:26:09,9.1,23.3,7.67,823,15,0
96,10/07/21,21:27:09,9.1,23.4,7.67,822,15,0
97,10/07/21,21:28:09,9.1,23.4,7.67,822,15,0
98,10/07/21,21:29:09,9.1,23.4,7.67,822,15,0
99,10/07/21,21:30:09,9.1,23.4,7.67,822,15,0
100,10/07/21,21:31:09,9.1,23.4,7.67,822,15,0
101,10/07/21,21:32:09,9.1,23.4,7.67,822,15,0
102,10/07/21,21:33:10,9.1,23.3,7.7,822,15,0
103,10/07/21,21:34:09,9.2,23.1,7.7,822,15,0
104,10/07/21,21:35:09,9.1,23,7.7,821,15,0
105,10/07/21,21:36:10,9.1,23,7.7,820,15,0
106,10/07/21,21:37:10,9.1,23.2,7.67,820,15,0
107,10/07/21,21:38:09,9.1,23.3,7.67,822,15,0
108,10/07/21,21:39:09,9.2,23.3,7.67,823,15,0
109,10/07/21,21:40:10,9.1,23.4,7.67,822,15,0
110,10/07/21,21:41:10,9.1,23.4,7.67,822,15,0
111,10/07/21,21:42:10,9.1,23.4,7.67,823,15,0
112,10/07/21,21:43:09,9.1,23.4,7.67,823,16,0
113,10/07/21,21:44:10,9.1,23.4,7.67,822,14,0
114,10/07/21,21:45:10,9.1,23.4,7.67,823,15,0
115,10/07/21,21:46:10,9.1,23.4,7.7,823,15,0
116,10/07/21,21:47:10,9.2,23.2,7.7,822,15,0
117,10/07/21,21:48:10,9.1,23,7.7,821,15,0
118,10/07/21,21:49:10,9.1,23,7.7,821,15,0
119,10/07/21,21:50:10,9.1,23.1,7.67,821,15,0
120,10/07/21,21:51:10,9.2,23.2,7.67,822,15,0
121,10/07/21,21:52:10,9.1,23.3,7.67,822,15,0
122,10/07/21,21:53:10,9.1,23.3,7.67,822,15,0
123,10/07/21,21:54:10,9.2,23.4,7.67,823,15,0
124,10/07/21,21:55:10,9.1,23.4,7.67,823,15,0
125,10/07/21,21:56:10,9.1,23.4,7.67,825,15,0
126,10/07/21,21:57:10,9.2,23.4,7.67,823,15,0
127,10/07/21,21:58:10,9.1,23.4,7.67,822,14,0
128,10/07/21,21:59:10,9.2,23.4,7.67,822,15,0
129,10/07/21,22:00:10,9.1,23.3,7.7,823,15,0
130,10/07/21,22:01:10,9.1,23.1,7.7,822,15,0
131,10/07/21,22:02:10,9.1,23,7.7,822,15,0
132,10/07/21,22:03:10,9.1,23,7.7,820,15,0
133,10/07/21,22:04:10,9.2,23.2,7.67,820,15,0
134,10/07/21,22:05:10,9.1,23.2,7.67,822,15,0
135,10/07/21,22:06:10,9.2,23.3,7.67,822,15,0
136,10/07/21,22:07:10,9.2,23.3,7.64,822,15,0
137,10/07/21,22:08:10,9.1,23.4,7.67,823,15,0
138,10/07/21,22:09:10,9.1,23.4,7.67,823,15,0
139,10/07/21,22:10:10,9.1,23.4,7.67,823,15,0
140,10/07/21,22:11:10,9.1,23.4,7.67,823,15,0
141,10/07/21,22:12:10,9.1,23.4,7.67,823,14,0
142,10/07/21,22:13:10,9.1,23.4,7.67,823,15,0
143,10/07/21,22:14:10,9.2,23.2,7.7,822,15,0
144,10/07/21,22:15:10,9.1,23,7.7,822,15,0
145,10/07/21,22:16:10,9.2,22.9,7.7,821,15,0
146,10/07/21,22:17:10,9.2,23.1,7.67,820,15,0
147,10/07/21,22:18:10,9.1,23.2,7.67,822,15,0
148,10/07/21,22:19:10,9,23.3,7.67,823,15,0
149,10/07/21,22:20:10,8.9,23.3,7.64,822,15,0
150,10/07/21,22:21:10,8.9,23.4,7.65,824,15,0
151,10/07/21,22:22:10,8.9,23.4,7.65,823,15,0
152,10/07/21,22:23:10,8.9,23.4,7.67,822,15,0
153,10/07/21,22:24:10,8.9,23.4,7.67,822,15,0
154,10/07/21,22:25:10,8.9,23.5,7.67,822,15,0
155,10/07/21,22:26:10,8.9,23.5,7.67,822,15,0
156,10/07/21,22:27:11,9,23.2,7.67,822,15,0
157,10/07/21,22:28:10,9,23.1,7.7,821,15,0
158,10/07/21,22:29:10,9,23,7.67,819,15,0
159,10/07/21,22:30:11,9,23.1,7.67,819,15,0
160,10/07/21,22:31:11,9,23.2,7.67,819,15,0
161,10/07/21,22:32:10,9,23.3,7.67,820,15,0
162,10/07/21,22:33:10,9,23.3,7.64,821,15,0
163,10/07/21,22:34:11,9.1,23.4,7.65,821,15,0
164,10/07/21,22:35:11,9,23.4,7.67,822,15,0
165,10/07/21,22:36:11,9.1,23.4,7.67,822,14,0
166,10/07/21,22:37:10,9.1,23.4,7.67,822,15,0
167,10/07/21,22:38:11,9.1,23.4,7.67,822,15,0
168,10/07/21,22:39:11,9.1,23.4,7.67,822,15,0
169,10/07/21,22:40:11,9.1,23.3,7.67,822,16,0
170,10/07/21,22:41:11,9.1,23.1,7.7,820,15,0
171,10/07/21,22:42:11,9.1,23,7.67,821,15,0
172,10/07/21,22:43:11,9.1,23,7.67,819,15,0
173,10/07/21,22:44:11,9.1,23.2,7.67,819,15,0
174,10/07/21,22:45:11,9.1,23.3,7.67,820,15,0
175,10/07/21,22:46:11,9.1,23.3,7.64,820,15,0
176,10/07/21,22:47:11,9.1,23.3,7.65,821,15,0
177,10/07/21,22:48:11,9.1,23.4,7.64,822,15,0
178,10/07/21,22:49:11,9.1,23.4,7.64,822,15,0
179,10/07/21,22:50:11,9.1,23.4,7.67,822,15,0
180,10/07/21,22:51:11,9.2,23.4,7.67,822,15,0
181,10/07/21,22:52:11,9.1,23.4,7.67,821,14,0
182,10/07/21,22:53:11,9.1,23.4,7.67,823,15,0
183,10/07/21,22:54:11,9.1,23.2,7.67,822,15,0
184,10/07/21,22:55:11,9.1,23.1,7.7,821,15,0
185,10/07/21,22:56:11,9.1,23,7.67,819,15,0
186,10/07/21,22:57:11,9.1,23.1,7.67,819,15,0
187,10/07/21,22:58:11,9.1,23.2,7.67,819,15,0
188,10/07/21,22:59:11,9.2,23.3,7.64,820,15,0
189,10/07/21,23:00:11,9.1,23.3,7.65,821,14,0
190,10/07/21,23:01:11,9.1,23.4,7.64,822,15,0
191,10/07/21,23:02:11,9.1,23.4,7.64,822,16,0
192,10/07/21,23:03:11,9.1,23.4,7.67,822,15,0
193,10/07/21,23:04:11,9.1,23.4,7.67,822,15,0
194,10/07/21,23:05:11,9.1,23.4,7.67,820,15,0
195,10/07/21,23:06:11,9.2,23.5,7.67,822,15,0
196,10/07/21,23:07:11,9.2,23.3,7.67,822,15,0
197,10/07/21,23:08:11,9.1,23.1,7.67,820,15,0
198,10/07/21,23:09:11,9.1,23,7.69,818,15,0
199,10/07/21,23:10:11,9.1,23,7.67,819,15,0
200,10/07/21,23:11:11,9.2,23.2,7.67,819,15,0
201,10/07/21,23:12:11,9.1,23.3,7.67,821,15,0
202,10/07/21,23:13:11,9.1,23.3,7.65,821,15,0
203,10/07/21,23:14:11,9.2,23.4,7.65,822,15,0
204,10/07/21,23:15:11,9.1,23.4,7.64,820,15,0
205,10/07/21,23:16:11,9.2,23.4,7.64,822,15,0
206,10/07/21,23:17:11,9.2,23.4,7.67,822,15,0
207,10/07/21,23:18:11,9.2,23.4,7.67,822,15,0
208,10/07/21,23:19:11,9.2,23.4,7.67,822,15,0
209,10/07/21,23:20:11,9.1,23.4,7.67,822,15,0
210,10/07/21,23:21:12,9.1,23.2,7.67,820,14,0
211,10/07/21,23:22:11,9.2,23,7.67,821,15,0
212,10/07/21,23:23:11,9.1,23,7.67,820,15,0
213,10/07/21,23:24:11,9.2,23.1,7.67,819,15,0
214,10/07/21,23:25:12,9.1,23.2,7.67,821,15,0
215,10/07/21,23:26:12,9.1,23.3,7.64,821,15,0
216,10/07/21,23:27:11,9.1,23.3,7.65,821,15,0
217,10/07/21,23:28:11,9.2,23.4,7.64,822,15,0
218,10/07/21,23:29:12,9.2,23.4,7.64,822,15,0
219,10/07/21,23:30:12,9.1,23.4,7.65,822,15,0
220,10/07/21,23:31:11,9.2,23.4,7.67,822,15,0
221,10/07/21,23:32:12,9.2,23.4,7.67,821,15,0
222,10/07/21,23:33:12,9.1,23.4,7.67,822,15,0
223,10/07/21,23:34:12,9.2,23.3,7.67,822,15,0
224,10/07/21,23:35:11,9.1,23.1,7.67,820,15,0
225,10/07/21,23:36:12,9.2,23,7.67,821,15,0
226,10/07/21,23:37:12,9.1,23,7.67,819,15,0
227,10/07/21,23:38:12,9.1,23.2,7.67,819,16,0
228,10/07/21,23:39:12,9,23.3,7.64,820,15,0
229,10/07/21,23:40:12,8.9,23.3,7.64,821,15,0
230,10/07/21,23:41:12,8.9,23.4,7.64,822,15,0
231,10/07/21,23:42:12,8.9,23.4,7.64,822,15,0
232,10/07/21,23:43:12,8.9,23.4,7.64,822,15,0
233,10/07/21,23:44:12,8.9,23.4,7.65,822,15,0
234,10/07/21,23:45:12,8.9,23.4,7.67,822,15,0
235,10/07/21,23:46:12,8.9,23.5,7.67,822,15,0
236,10/07/21,23:47:12,9,23.4,7.67,820,15,0
237,10/07/21,23:48:12,9,23.2,7.67,820,15,0
238,10/07/21,23:49:12,9,23,7.67,819,15,0
239,10/07/21,23:50:12,9,22.9,7.67,818,15,0
240,10/07/21,23:51:12,9.1,23.1,7.67,819,15,0
241,10/07/21,23:52:12,9,23.2,7.64,819,15,0
242,10/07/21,23:53:12,9,23.3,7.64,819,15,0
243,10/07/21,23:54:12,9.1,23.3,7.65,820,15,0
244,10/07/21,23:55:12,9.1,23.4,7.65,819,15,0
245,10/07/21,23:56:12,9.1,23.4,7.65,821,15,0
246,10/07/21,23:57:13,9.1,23.4,7.65,821,15,0
247,10/07/21,23:58:14,9.1,23.4,7.65,822,15,0
248,10/07/21,23:59:14,9.1,23.4,7.67,822,15,0
249,10/08/21,00:00:14,9.1,23.4,7.67,821,15,0
250,10/08/21,00:01:13,9.1,23.2,7.67,819,15,0
251,10/08/21,00:02:14,9.1,23.1,7.67,819,15,0
252,10/08/21,00:03:14,9.1,23,7.67,818,15,0
253,10/08/21,00:04:13,9.1,23.1,7.67,819,15,0
254,10/08/21,00:05:14,9.1,23.2,7.67,819,15,0
255,10/08/21,00:06:14,9.1,23.3,7.65,819,15,0
256,10/08/21,00:07:14,9.1,23.3,7.64,821,15,0
257,10/08/21,00:08:14,9.1,23.4,7.65,820,15,0
258,10/08/21,00:09:14,9.1,23.4,7.65,821,15,0
259,10/08/21,00:10:14,9.1,23.4,7.65,821,15,0
260,10/08/21,00:11:14,9.1,23.4,7.64,821,15,0
261,10/08/21,00:12:14,9.1,23.4,7.67,821,15,0
262,10/08/21,00:13:14,9.1,23.4,7.67,820,15,0
263,10/08/21,00:14:14,9.1,23.3,7.67,821,15,0
264,10/08/21,00:15:14,9.1,23.1,7.67,819,15,0
265,10/08/21,00:16:14,9.1,23,7.67,819,15,0
266,10/08/21,00:17:14,9.1,23,7.67,818,15,0
267,10/08/21,00:18:14,9.1,23.2,7.67,818,15,0
268,10/08/21,00:19:14,9.1,23.3,7.65,818,15,0
269,10/08/21,00:20:14,9.1,23.3,7.65,820,15,0
270,10/08/21,00:21:14,9.1,23.4,7.64,822,15,0
271,10/08/21,00:22:14,9.1,23.4,7.65,821,15,0
272,10/08/21,00:23:14,9.1,23.4,7.64,820,15,0
273,10/08/21,00:24:14,9.1,23.4,7.64,821,15,0
274,10/08/21,00:25:14,9.1,23.4,7.67,820,15,0
275,10/08/21,00:26:14,9.1,23.4,7.67,821,15,0
276,10/08/21,00:27:14,9.1,23.4,7.67,820,15,0
277,10/08/21,00:28:14,9.1,23.2,7.67,821,15,0
278,10/08/21,00:29:14,9.1,23,7.67,821,15,0
279,10/08/21,00:30:14,9.1,22.9,7.67,818,15,0
280,10/08/21,00:31:14,9.2,23.1,7.67,818,15,0
281,10/08/21,00:32:14,9.1,23.2,7.65,819,15,0
282,10/08/21,00:33:14,9.1,23.3,7.65,819,15,0
283,10/08/21,00:34:14,9.2,23.4,7.65,819,15,0
284,10/08/21,00:35:14,9.1,23.4,7.65,820,15,0
285,10/08/21,00:36:14,9.1,23.4,7.64,821,15,0
286,10/08/21,00:37:14,9.1,23.4,7.65,820,15,0
287,10/08/21,00:38:14,9.2,23.4,7.65,819,15,0
288,10/08/21,00:39:14,9.2,23.4,7.67,820,15,0
289,10/08/21,00:40:14,9.1,23.4,7.67,819,15,0
290,10/08/21,00:41:15,9.1,23.3,7.67,821,15,0
291,10/08/21,00:42:14,9.1,23.1,7.67,821,15,0
292,10/08/21,00:43:14,9.1,23,7.67,819,15,0
293,10/08/21,00:44:14,9.1,23,7.67,819,15,0
294,10/08/21,00:45:15,9.1,23.2,7.67,819,15,0
295,10/08/21,00:46:14,9.1,23.3,7.65,822,15,0
296,10/08/21,00:47:14,9.1,23.3,7.64,819,15,0
297,10/08/21,00:48:14,9.1,23.4,7.65,821,15,0
298,10/08/21,00:49:15,9.1,23.4,7.65,821,15,0
299,10/08/21,00:50:15,9.1,23.4,7.65,822,15,0
300,10/08/21,00:51:14,9.1,23.4,7.65,821,15,0
301,10/08/21,00:52:15,9.1,23.4,7.67,821,15,0
302,10/08/21,00:53:15,9.1,23.5,7.67,821,15,0
303,10/08/21,00:54:15,9.2,23.4,7.67,822,15,0
304,10/08/21,00:55:14,9.1,23.2,7.67,821,15,0
305,10/08/21,00:56:15,9.1,23,7.67,819,15,0
306,10/08/21,00:57:15,9.1,23,7.67,819,15,0
307,10/08/21,00:58:15,9,23.2,7.67,818,15,0
308,10/08/21,00:59:15,9,23.2,7.64,819,15,0
309,10/08/21,01:00:15,8.9,23.3,7.64,820,15,0
310,10/08/21,01:01:15,8.9,23.3,7.64,820,15,0
311,10/08/21,01:02:15,8.9,23.4,7.65,821,15,0
312,10/08/21,01:03:15,8.9,23.4,7.64,821,15,0
313,10/08/21,01:04:15,8.9,23.4,7.65,821,15,0
314,10/08/21,01:05:15,8.9,23.5,7.64,821,15,0
315,10/08/21,01:06:15,8.9,23.5,7.67,821,15,0
316,10/08/21,01:07:15,9,23.5,7.67,819,15,0
317,10/08/21,01:08:15,9,23.2,7.67,819,15,0
318,10/08/21,01:09:15,9,23.1,7.67,818,15,0
319,10/08/21,01:10:15,9,23,7.67,818,15,0
320,10/08/21,01:11:15,9.1,23.1,7.67,816,15,0
321,10/08/21,01:12:15,9,23.2,7.67,818,15,0
322,10/08/21,01:13:15,9,23.3,7.64,818,15,0
323,10/08/21,01:14:15,9.1,23.3,7.65,818,15,0
324,10/08/21,01:15:15,9.1,23.4,7.64,819,15,0
325,10/08/21,01:16:15,9.1,23.4,7.64,819,15,0
326,10/08/21,01:17:15,9.1,23.4,7.64,819,15,0
327,10/08/21,01:18:15,9.1,23.4,7.65,819,15,0
328,10/08/21,01:19:15,9.1,23.5,7.67,819,15,0
329,10/08/21,01:20:15,9.1,23.5,7.67,819,15,0
330,10/08/21,01:21:15,9.1,23.3,7.67,820,15,0
331,10/08/21,01:22:15,9.1,23.2,7.67,818,15,0
332,10/08/21,01:23:15,9.1,23,7.67,818,15,0
333,10/08/21,01:24:15,9.1,23,7.67,818,15,0
334,10/08/21,01:25:15,9.1,23.1,7.67,818,15,0
335,10/08/21,01:26:15,9.1,23.2,7.64,818,15,0
336,10/08/21,01:27:15,9.1,23.3,7.64,819,15,0
337,10/08/21,01:28:15,9.1,23.4,7.65,820,15,0
338,10/08/21,01:29:15,9.1,23.4,7.65,819,15,0
339,10/08/21,01:30:15,9.1,23.4,7.65,819,15,0
340,10/08/21,01:31:15,9.1,23.4,7.65,819,15,0
341,10/08/21,01:32:15,9.1,23.4,7.64,819,15,0
342,10/08/21,01:33:15,9.1,23.5,7.67,821,15,0
343,10/08/21,01:34:15,9.1,23.5,7.67,820,15,0
344,10/08/21,01:35:16,9.1,23.3,7.67,819,15,0
345,10/08/21,01:36:15,9.1,23.1,7.67,818,14,0
346,10/08/21,01:37:15,9.1,23,7.67,818,15,0
347,10/08/21,01:38:16,9.1,23,7.67,818,15,0
348,10/08/21,01:39:16,9.1,23.2,7.67,818,15,0
349,10/08/21,01:40:15,9.1,23.3,7.64,818,15,0
350,10/08/21,01:41:15,9.1,23.3,7.65,819,15,0
351,10/08/21,01:42:16,9.1,23.4,7.64,819,15,0
352,10/08/21,01:43:16,9.1,23.4,7.64,819,15,0
353,10/08/21,01:44:15,9.1,23.4,7.64,819,15,0
354,10/08/21,01:45:15,9.1,23.4,7.65,820,15,0
355,10/08/21,01:46:16,9.1,23.5,7.67,818,15,0
356,10/08/21,01:47:16,9.1,23.5,7.67,819,15,0
357,10/08/21,01:48:15,9.1,23.4,7.67,820,15,0
358,10/08/21,01:49:16,9.1,23.2,7.67,820,15,0
359,10/08/21,01:50:16,9.1,23.1,7.67,818,15,0
360,10/08/21,01:51:16,9.1,23,7.67,818,15,0
361,10/08/21,01:52:15,9.1,23.1,7.67,818,15,0
362,10/08/21,01:53:16,9.1,23.2,7.65,819,15,0
363,10/08/21,01:54:16,9.1,23.3,7.64,819,15,0
364,10/08/21,01:55:16,9.1,23.4,7.64,819,15,0
365,10/08/21,01:56:16,9.1,23.4,7.64,819,15,0
366,10/08/21,01:57:16,9.1,23.4,7.65,819,15,0
367,10/08/21,01:58:16,9.1,23.4,7.64,819,15,0
368,10/08/21,01:59:16,9.2,23.4,7.65,819,15,0
369,10/08/21,02:00:16,9.1,23.5,7.67,819,15,0
370,10/08/21,02:01:16,9.1,23.5,7.67,819,15,0
371,10/08/21,02:02:16,9.1,23.3,7.67,819,15,0
372,10/08/21,02:03:16,9.1,23.1,7.67,818,15,0
373,10/08/21,02:04:16,9.1,23,7.67,818,15,0
374,10/08/21,02:05:16,9.1,23,7.67,818,15,0
375,10/08/21,02:06:16,9.2,23.2,7.67,818,15,0
376,10/08/21,02:07:16,9.1,23.3,7.64,818,15,0
377,10/08/21,02:08:16,9.1,23.3,7.65,819,15,0
378,10/08/21,02:09:16,9.1,23.4,7.64,819,15,0
379,10/08/21,02:10:16,9.1,23.4,7.65,819,15,0
380,10/08/21,02:11:16,9.1,23.4,7.64,819,15,0
381,10/08/21,02:12:16,9.1,23.4,7.64,819,15,0
382,10/08/21,02:13:16,9.1,23.4,7.67,819,15,0
383,10/08/21,02:14:16,9.2,23.5,7.67,819,15,0
384,10/08/21,02:15:16,9.1,23.5,7.67,819,15,0
385,10/08/21,02:16:16,9.1,23.2,7.67,819,15,0
386,10/08/21,02:17:16,9.1,23.1,7.67,818,15,0
387,10/08/21,02:18:16,9,23,7.67,818,15,0
388,10/08/21,02:19:16,9,23.1,7.67,816,15,0
389,10/08/21,02:20:16,8.9,23.2,7.67,818,15,0
390,10/08/21,02:21:16,8.9,23.3,7.65,818,15,0
391,10/08/21,02:22:16,8.9,23.4,7.65,818,15,0
392,10/08/21,02:23:16,8.9,23.4,7.64,818,15,0
393,10/08/21,02:24:16,8.9,23.5,7.65,819,15,0
394,10/08/21,02:25:16,8.9,23.5,7.65,819,15,0
395,10/08/21,02:26:16,8.9,23.5,7.65,819,15,0
396,10/08/21,02:27:16,8.9,23.5,7.65,819,15,0
397,10/08/21,02:28:17,9,23.5,7.67,818,15,0
398,10/08/21,02:29:16,9,23.4,7.67,818,16,0
399,10/08/21,02:30:16,9,23.2,7.67,816,15,0
400,10/08/21,02:31:17,9.1,23.1,7.67,815,15,0
401,10/08/21,02:32:16,9,23,7.67,816,15,0
402,10/08/21,02:33:16,9.1,23.1,7.67,815,15,0
403,10/08/21,02:34:16,9.1,23.2,7.65,816,15,0
404,10/08/21,02:35:17,9,23.3,7.65,816,15,0
405,10/08/21,02:36:16,9.1,23.4,7.64,818,15,0
406,10/08/21,02:37:16,9.1,23.4,7.64,818,15,0
407,10/08/21,02:38:16,9.1,23.4,7.64,818,15,0
408,10/08/21,02:39:17,9.1,23.4,7.64,818,15,0
409,10/08/21,02:40:17,9.1,23.5,7.65,818,15,0
410,10/08/21,02:41:16,9.1,23.5,7.67,816,15,0
411,10/08/21,02:42:17,9.1,23.5,7.67,818,15,0
412,10/08/21,02:43:17,9.1,23.4,7.67,818,15,0
413,10/08/21,02:44:16,9.1,23.2,7.67,818,15,0
414,10/08/21,02:45:17,9.1,23.1,7.67,816,15,0
415,10/08/21,02:46:17,9.1,23,7.67,815,15,0
416,10/08/21,02:47:17,9.1,23.1,7.67,817,15,0
417,10/08/21,02:48:16,9.1,23.2,7.64,816,15,0
418,10/08/21,02:49:17,9.1,23.3,7.65,818,15,0
419,10/08/21,02:50:17,9.1,23.4,7.65,818,15,0
420,10/08/21,02:51:17,9.2,23.4,7.65,818,15,0
421,10/08/21,02:52:17,9.1,23.4,7.64,818,15,0
422,10/08/21,02:53:17,9.1,23.4,7.65,818,15,0
423,10/08/21,02:54:17,9.1,23.5,7.65,818,15,0
424,10/08/21,02:55:17,9.1,23.5,7.67,818,15,0
425,10/08/21,02:56:17,9.1,23.5,7.67,819,15,0
426,10/08/21,02:57:17,9.1,23.4,7.67,819,15,0
427,10/08/21,02:58:17,9.1,23.2,7.67,818,15,0
428,10/08/21,02:59:17,9.1,23.1,7.67,816,15,0
429,10/08/21,03:00:17,9.1,23,7.67,816,15,0
430,10/08/21,03:01:17,9.1,23.1,7.67,816,15,0
431,10/08/21,03:02:17,9.1,23.2,7.65,816,15,0
432,10/08/21,03:03:17,9.1,23.3,7.65,818,15,0
433,10/08/21,03:04:17,9.1,23.4,7.64,818,15,0
434,10/08/21,03:05:17,9.1,23.4,7.64,818,15,0
435,10/08/21,03:06:17,9.1,23.4,7.65,819,15,0
436,10/08/21,03:07:17,9.1,23.5,7.65,818,15,0
437,10/08/21,03:08:17,9.1,23.5,7.65,818,15,0
438,10/08/21,03:09:17,9.1,23.5,7.65,818,15,0
439,10/08/21,03:10:17,9.1,23.5,7.67,818,15,0
440,10/08/21,03:11:17,9.1,23.3,7.67,818,15,0
